id,energy,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
7c8McdKXbqVdH1OVlii5dz,0.848,0.651,7,-10.957,1,0.0334,0.0666,2.47e-05,0.286,0.659,109.189,175187,4,studio
3whQonlWrOjLVkZcA1GQsV,0.412,0.696,0,-8.171,0,0.0368,0.533,0,0.11,0.499,123.8,180573,4,live
7hMhO4oenpVkVaM5bNkEbz,0.421,0.58,2,-9.161,1,0.0315,0.867,0,0.205,0.347,114.725,194680,4,studio
0h1HflWtF5FuOhO9qaQobT,0.264,0.639,7,-18.802,1,0.0425,0.732,0.755,0.0522,0.433,125.458,362320,4,studio
59OAaOgKSLoNxSrvjYPiYZ,0.856,0.613,9,-9.729,0,0.093,0.225,3.7e-05,0.128,0.754,140.552,255040,4,studio
5AJT2Tk8mnDEnCtsikWVu2,0.0816,0.513,0,-19.555,1,0.0782,0.934,0.000132,0.108,0.129,132.491,276733,4,studio
4yWl0tnEanf3zmZzl9kbQn,0.493,0.488,2,-9.878,1,0.0464,0.255,0.000181,0.102,0.389,135.093,296133,4,studio
3WKIFsGkI1poPfQ18vY6Ji,0.414,0.307,1,-9.495,1,0.0384,0.697,0,0.97,0.543,84.037,204000,4,live
3fALpbGvipaPwK1XFtVDol,0.585,0.621,3,-6.474,1,0.0246,0.729,0,0.0768,0.558,96.054,182787,4,studio
6efaMrdCksqImu2Bf6FqkX,0.0932,0.647,0,-21.932,0,0.0443,0.87,1.47e-05,0.118,0.443,100.283,172013,4,studio
0X9Sqk8kISEzGCrSTm8FOt,0.665,0.706,0,-6.777,1,0.036,0.546,0,0.0966,0.842,95.084,155733,4,studio
7LrYSn85dDGh06UfyvUd3r,0.169,0.531,4,-10.434,0,0.079,0.884,0,0.114,0.418,96.962,250067,4,live
6rfGPGghQL7SJmZPXprXIc,0.219,0.375,1,-13.112,1,0.0288,0.78,0.00141,0.109,0.197,143.447,211000,4,studio
0xLhAWVecKXCtC12bVxiq8,0.511,0.645,6,-6.433,0,0.0336,0.695,0,0.985,0.376,121.151,198533,4,live
7cssqi1ylaqlGrPTySwNzp,0.507,0.631,4,-10.825,1,0.029,0.203,0.000636,0.0946,0.39,97.481,249573,4,studio
71aAGHlwUNvhux9mnTEhu1,0.645,0.641,7,-9.209,1,0.0958,0.246,0.000238,0.695,0.407,99.435,332493,4,live
7xRemq7GLu0Tbqe9OckG87,0.517,0.419,8,-9.368,1,0.0284,0.532,0.0251,0.0785,0.905,145.109,186213,4,studio
78tzwyjbBzcVLiThPll2c3,0.534,0.582,2,-11.76,1,0.0267,0.14,0.000163,0.174,0.796,93.744,245507,4,studio
22LEqLYB0LIzIS2jwNTApW,0.311,0.319,10,-12.086,1,0.0352,0.663,0,0.0898,0.319,70.113,175893,4,studio
6ojEUoH25vyIrV8umcw5vG,0.273,0.592,1,-12.563,1,0.0263,0.945,0.00979,0.112,0.356,96.995,149733,4,studio
3tPkWQ0Ed6vHbYdbPP7HLJ,0.48,0.305,2,-6.927,1,0.0287,0.782,1.54e-06,0.225,0.358,67.867,255853,4,studio
18GiV1BaXzPVYpp9rmOg0E,0.0993,0.38,2,-20.567,1,0.0509,0.914,2.32e-05,0.0605,0.44,174.874,165427,4,studio
4LloVtxNZpeh7q7xdi1DQc,0.296,0.315,5,-13.262,1,0.0315,0.771,0,0.702,0.435,173.509,263573,4,live
2bCFKT7w3wwGfCV3cjrjqi,0.446,0.443,3,-8.226,1,0.0326,0.673,0,0.099,0.343,146.681,263373,3,studio
6JNLbLXIhXAhuUvEZsSyeY,0.966,0.221,5,-2.747,1,0.0962,0.0357,0.000187,0.967,0.354,150.641,455560,4,live
4n8S1IYFyutQ6zE3vs4ebb,0.212,0.418,3,-9.09,1,0.0255,0.918,0,0.0983,0.135,76.424,137840,3,studio
2EQHRPX0djuCdJx6XYh0OW,0.319,0.247,10,-13.776,1,0.0531,0.613,0,0.912,0.427,182.824,154333,4,live
5AYQ4Z0XOFPRuiy8uNpM4o,0.406,0.318,11,-12.194,1,0.0526,0.0409,0.000774,0.8,0.243,100.101,428133,4,live
1FtJgaely2X7NKul8bDJ3W,0.554,0.524,2,-6.954,1,0.0499,0.654,0,0.143,0.67,132.8,263267,4,studio
0r90eHVX5I4CepAY9JmoU0,0.174,0.595,2,-20.014,1,0.0916,0.931,0.0233,0.97,0.467,93.759,288027,4,live
6jegsiFyEOCmz1SLNl53a8,0.616,0.43,0,-9.732,1,0.138,0.539,0,0.0883,0.825,82.193,314053,4,studio
3O1hpSOaJDW4SelgUG2XT3,0.273,0.55,11,-13.863,0,0.0344,0.599,2.93e-05,0.224,0.305,72.52,320867,4,studio
1nbGN4N63uCQq0pCIs3kIf,0.543,0.431,7,-12.507,1,0.0488,0.354,8.98e-05,0.106,0.619,157.384,467493,4,studio
4rnkECscLCpjPM4pYyBNMJ,0.754,0.317,0,-3.7,1,0.0371,0.409,0,0.967,0.361,141.431,237933,4,live
1PaanwSOTNJStRH0UgFnSm,0.382,0.3,9,-15.643,1,0.0415,0.251,0.000109,0.98,0.298,117.81,697933,4,live
7Ay1lHxhuM33NoXKsS0iom,0.218,0.658,8,-17.302,1,0.0377,0.876,0.00188,0.16,0.632,106.73,107227,4,studio
2k6G9rxC0AHbwyJtizWbFd,0.899,0.466,11,-6.825,0,0.0571,0.0137,0.0108,0.984,0.324,113.756,443040,4,live
368OHaaG7tnjVqD9hRIXhL,0.32,0.471,4,-12.768,1,0.035,0.375,2.12e-05,0.0729,0.262,143.086,259400,4,studio
7igZXPqcTPIhnjqzlsKNyw,0.206,0.542,7,-12.035,1,0.0298,0.831,0,0.152,0.436,139.316,303333,3,studio
4V8Dm2fhA5k0nyhgyRApVk,0.992,0.395,0,-3.141,1,0.26,0.00745,0,0.974,0.138,144.026,265333,4,live
0JBFlDivbkrskU7oYnjdIU,0.441,0.453,0,-12.408,1,0.0556,0.437,1.24e-05,0.147,0.657,78.039,360013,4,studio
3xNO6JUk9ySYjxuqzcZYRB,0.224,0.383,2,-16.99,1,0.0274,0.768,0,0.087,0.466,102.94,288000,4,studio
2RYMRL56R78jTqXe1CJ6KV,0.684,0.524,9,-9.681,1,0.0429,0.00255,0.867,0.836,0.386,125.419,245173,4,live
38beZoBnsUmko3DFheiyuh,0.3,0.505,8,-11.504,1,0.0346,0.13,0.000725,0.0901,0.15,112.686,494773,4,studio
6PYXzSxoKfU4jpYB4emvL8,0.993,0.603,10,-3.583,1,0.0972,0.00259,0.000821,0.972,0.316,109.968,277067,4,live
1YGDRTeHX3egkIxdLxlOxN,0.293,0.645,8,-12.253,1,0.0486,0.839,0,0.0656,0.249,94.8,271467,3,studio
2SvhnRCqjsRMU99Nl0if9H,0.969,0.552,11,-5.394,1,0.0357,0.0237,0.00179,0.0892,0.702,130.764,242960,4,studio
71ttiJxheBp4rHlUEveVeY,0.481,0.513,0,-6.614,0,0.033,0.401,0.00181,0.158,0.393,131.735,353200,4,studio
5krLPOpDoQ7oL5IoPsIaQK,0.569,0.457,9,-8.905,1,0.0318,0.527,0.000219,0.254,0.525,179.107,183600,3,studio
7yAPh7JoXujJnBqjm8RJFF,0.685,0.48,7,-12.52,1,0.0304,2.53e-05,0.000229,0.0984,0.869,179.452,198693,4,studio
4l3sLgk1dK81AkoozpFux5,0.297,0.575,9,-14.212,1,0.0257,0.143,8.54e-05,0.13,0.533,87.711,134907,4,studio
2tZWLhhm0uLUIRj08RpdXL,0.0923,0.68,2,-22.239,0,0.0387,0.899,0,0.156,0.299,117.614,183373,4,studio
5jpEdHQL8kGxROtZkj4KXM,0.497,0.474,10,-7.697,1,0.0367,0.77,0.022,0.117,0.716,142.595,169440,4,studio
7lLbE90f0JwqowKNSlBxYD,0.578,0.585,10,-8.012,1,0.0324,0.34,0,0.0946,0.635,105.328,348400,4,studio
3KZf8XnGGl47UR1bm3YFFt,0.443,0.383,7,-13.038,1,0.0325,0.202,1.8e-05,0.0484,0.215,147.384,243733,4,studio
5htXjZuTCeSvBcSHuv79As,0.486,0.611,2,-8.158,1,0.149,0.199,0.000639,0.0371,0.967,206.276,328160,3,studio
18tQtthhCQWcWokhHlXDkQ,0.295,0.559,7,-11.368,1,0.0341,0.57,5.17e-05,0.106,0.52,89.89,217400,4,studio
7mlpU5ws8MuqGK3BAmg8K6,0.969,0.514,1,-2.633,1,0.0836,0.0713,0,0.957,0.525,115.922,301107,4,live
6FBaIl4oCg3kUG3YNu7FrM,0.512,0.791,6,-13.309,0,0.0733,0.535,6.24e-06,0.119,0.599,98.884,232933,4,studio
2yx1kAK1Fe2zTOsaDKSNBk,0.781,0.308,0,-7.052,1,0.0746,0.0639,1.16e-05,0.978,0.283,166.931,261973,4,live
2wyd0lnRBSsvQR807vjNLI,0.689,0.595,7,-7.727,0,0.0436,0.74,0.000561,0.972,0.409,132.98,424400,4,live
0CBKejeCG6Hc8A7DhHGDdm,0.0844,0.538,2,-22.481,1,0.0328,0.639,3.92e-05,0.191,0.329,76.31,214720,4,studio
1nMOoKTfbAdrmgWul6hobW,0.923,0.466,2,-6.543,1,0.155,0.14,0,0.948,0.602,117.206,258853,4,live
1vXIQfqD25QeMbPQirhDiD,0.575,0.426,0,-8.686,1,0.0401,0.841,0.00756,0.892,0.26,82.811,155707,4,live
3NRPXrvVGMpEZx11BaYUeQ,0.735,0.386,5,-7.498,1,0.108,0.461,5.44e-05,0.711,0.355,142.612,255507,4,live
7tem1vYGSIuBE59Q8aP7Yc,0.294,0.601,5,-20.909,1,0.0313,0.809,0.499,0.129,0.779,87.034,160173,4,studio
6RZtFDUHqO9CH1CbHt6aUC,0.721,0.293,0,-7.704,1,0.0409,0.119,0.206,0.982,0.165,131.834,289187,4,live
0kSTfcoPCpp5xHQ2JszYiR,0.238,0.279,0,-11.543,1,0.0333,0.924,0.00557,0.109,0.242,178.916,189627,3,studio
2BptgHssBhYE1y4ZH7oRew,0.754,0.363,5,-10.97,0,0.0621,0.0844,0,0.127,0.84,107.816,242560,4,studio
2OqE96IZhnQ7uNunN6Opag,0.831,0.579,7,-7.943,1,0.0367,0.154,1.85e-05,0.165,0.822,97.622,449000,4,studio
6TEUoqvgI51lwF6ECtmX8M,0.979,0.336,4,-4.49,1,0.138,0.00377,0.0636,0.992,0.371,137.041,257867,4,live
423hwXFgoN8RYmqLoLuVvY,0.675,0.655,1,-9.352,1,0.0599,0.272,0.0236,0.727,0.587,77.589,427800,4,live
70Ovz2fxYN0VJ9nRlB13WQ,0.781,0.266,9,-4.376,0,0.0416,0.107,0.00026,0.759,0.171,125.204,426107,4,live
6LnbH4XKMmew69yOCmct6s,0.832,0.559,9,-4.982,0,0.0322,0.00222,0.345,0.689,0.707,122.825,270600,4,live
4MNxOR2Fu4NqJ892UdYx0h,0.247,0.48,7,-15.929,1,0.0311,0.747,2.86e-06,0.0745,0.422,109.646,300107,4,studio
0pjOjoHMJrerHhiXNRs3GK,0.639,0.471,0,-7.989,1,0.0885,0.593,0,0.717,0.472,149.146,317027,4,live
6N4SMULd9s6zjCom9vWGrr,0.906,0.214,4,-4.866,1,0.396,0.229,4.06e-06,0.856,0.339,71.757,459320,4,live
0BbmTYj3Crdlfzn1Aat3dG,0.306,0.505,9,-8.007,1,0.0299,0.611,0,0.0701,0.532,125.997,234507,4,studio
0rtNK3yP7Inf9hl6C0znpe,0.324,0.375,1,-15.226,1,0.0308,0.258,1.36e-05,0.0721,0.408,148.198,252773,4,studio
4RKkYBpfzwdUecdC1XxUvs,0.0255,0.421,11,-24.102,1,0.0327,0.909,4.07e-06,0.104,0.302,79.72,204213,4,studio
25Ng1ejiidxs73BAzVYLuA,0.846,0.472,5,-9.498,1,0.215,0.798,0.421,0.985,0.543,156.579,224307,4,live
1Y3VFY4mkLqMIkqxC51p6l,0.336,0.428,1,-11.022,1,0.0384,0.748,4.32e-06,0.125,0.147,153.727,180733,4,studio
54kJQb15wTK67vkFuOo663,0.451,0.446,9,-12.815,1,0.0407,0.593,0.0517,0.14,0.76,161.534,147680,4,studio
3YLW8zJtp7CiIzfvrdasiW,0.326,0.65,4,-12.1,1,0.0344,0.809,0,0.216,0.413,119.603,155507,3,live
3v55o86xGDEiZCLioTrmy5,0.323,0.394,0,-19.551,1,0.059,0.72,0.00548,0.173,0.733,178.083,140800,4,studio
33MxZySx17wtJmXUeQwrdG,0.972,0.319,9,-3.933,1,0.195,0.014,1.83e-06,0.974,0.333,155.194,300107,4,live
1EFdG2QmqGLqNiSECOpW07,0.291,0.39,0,-12.673,1,0.0283,0.174,0.000327,0.203,0.459,83.458,217933,4,studio
3AYjDkQjmksLk7b9gOCakv,0.438,0.719,2,-14.013,1,0.0554,0.514,0.000202,0.519,0.87,92.242,332707,4,live
5eVjE8FDSDXQLSbTZSA5Qv,0.234,0.514,4,-18.245,1,0.0328,0.539,0.00254,0.109,0.454,173.644,203507,4,studio
5WsZ3nNApCUv3IoOtAA3kv,0.439,0.461,7,-9.145,1,0.0382,0.143,0.00041,0.409,0.591,177.431,350760,4,studio
22Ajgcn8wUPoO7W5DTYNzt,0.962,0.324,4,-3.168,1,0.0967,0.012,0.000606,0.924,0.482,136.685,229493,4,live
4suTnxUk7NktntcZYQjr4Y,0.941,0.349,2,-6.066,0,0.0711,0.0985,0.211,0.981,0.283,153.936,654307,4,live
1LGmxVTktSQBIpKPymNrWl,0.122,0.48,4,-15.867,1,0.035,0.898,0,0.102,0.284,101.611,332278,4,studio
1TtiONYQYzFjO8KKl4LpOS,0.542,0.474,1,-7.376,1,0.22,0.711,0,0.343,0.459,149.152,203480,4,live
7w2oy1rqEbNu5iy9gWJfzi,0.514,0.345,6,-7.548,0,0.0293,0.207,0,0.0969,0.702,157.874,215680,4,live
0cpTK1S7dSmnsTA1Xm0BcR,0.226,0.441,11,-13.809,1,0.0324,0.981,0.0861,0.138,0.33,148.107,220587,4,studio
593bb05n3FaKq0nb1vvAH6,0.919,0.64,2,-5.736,1,0.0477,0.0373,0.00244,0.593,0.433,144.979,214027,4,live
7yUbj0oSJwb57vdq44Lx6T,0.979,0.29,9,-2.83,1,0.0634,0.0337,0.00367,0.956,0.53,142.111,294933,4,live
5ggMp1ktrpM3K2MDRf89DN,0.397,0.747,10,-10.591,1,0.0277,0.566,0.00324,0.324,0.371,108.784,461013,4,studio
69EobJ8OCQYOBw45OTkZOF,0.52,0.608,0,-5.288,1,0.0248,0.317,0,0.121,0.602,101.948,233987,4,live
32IuvbWbYRjjPWndi8oMkg,0.342,0.679,10,-9.564,1,0.029,0.83,0,0.098,0.577,115.354,172360,4,studio
6xoGGEN8J1sB0Dl9LoJ5b0,0.268,0.454,9,-13.108,1,0.0447,0.57,0.000399,0.0792,0.196,123.198,199453,3,studio
2FDTgrYDUdQKyGmtynEk90,0.56,0.702,4,-12.323,1,0.0342,0.571,0,0.109,0.889,125.452,171107,4,studio
5jZLCVKppwm7dGxvb68fTW,0.494,0.637,2,-9.585,0,0.0376,0.532,9.51e-05,0.0751,0.626,119.337,206507,4,studio
5j216bw8PG0EcIdfu92k4l,0.717,0.516,3,-7.142,1,0.0343,0.126,0,0.186,0.883,147.957,418293,3,studio
2mtFuEkmXvFFirYgkPZqGQ,0.591,0.472,9,-8.661,1,0.0918,0.114,0,0.26,0.573,143.278,712227,4,studio
4CiCn1uQ4g2nDcunbk2mw7,0.516,0.823,7,-11.538,1,0.181,0.326,1.59e-06,0.0767,0.906,137.689,328493,4,studio
07QFbVxz2Ycgby6e5Ft2IS,0.451,0.878,3,-12.661,0,0.0449,0.336,0,0.0901,0.812,135.037,545027,4,studio
1WiSOATwmI7ED9bnKcDHqU,0.842,0.438,9,-7.25,0,0.1,0.103,0.000314,0.971,0.468,107.264,316387,4,live
5sEiHlDvo5CRpX5AT3Q8z1,0.265,0.604,7,-11.63,1,0.0291,0.838,1.61e-05,0.135,0.354,103.863,382960,4,studio
70yzmEXaSuyddduotWyeZf,0.341,0.474,0,-8.877,1,0.0554,0.769,0,0.0878,0.329,165.406,232693,4,studio
5NRyrdfQwwQ3rgSkBtNMcw,0.0673,0.763,9,-21.582,1,0.0412,0.365,7.25e-05,0.125,0.403,118.555,309880,4,studio
05TWNShnPLgOutwhXQFycC,0.939,0.168,0,-5.119,1,0.118,0.00975,0.00192,0.982,0.326,79.459,457360,4,live
0V1771LhL3tG36pb55EZAH,0.511,0.497,7,-8.318,1,0.0271,0.702,0,0.262,0.591,99.5,327560,4,studio
6LxIrPgNmpjJeVRrOWdYcd,0.789,0.235,2,-6.582,1,0.043,0.117,0,0.898,0.191,132.845,273373,4,live
0Fnb2pfBfu0ka33d6Yki17,0.41,0.581,1,-12.617,0,0.0303,0.475,2.04e-05,0.0746,0.697,129.175,151093,4,studio
2MvXWxCOtnRAW21uB4KuoJ,0.715,0.391,10,-7.164,1,0.0289,0.591,0.00978,0.987,0.469,144.031,707120,4,live
2L436wphs3yXqQOpxIwitw,0.2,0.318,3,-12.999,1,0.0325,0.959,0.000806,0.109,0.0772,76.027,198893,4,studio
0bC2hzqmVXfRSp3KmKb9xl,0.448,0.591,8,-5.828,1,0.0278,0.612,0,0.116,0.625,94.052,155453,3,studio
5kKW4bszhKSCYVPDO0sMbX,0.596,0.6,8,-11.501,1,0.0784,0.89,0.000273,0.268,0.52,96.565,343680,4,studio
46FXjzG3pw4biunss7RfBq,0.661,0.582,7,-7.195,1,0.0293,0.343,0.594,0.892,0.899,128.284,346840,4,live
39qbUIYt3lIHqdycvQo8Xx,0.819,0.617,4,-9.035,1,0.0465,0.218,0,0.296,0.882,128.298,198853,4,studio
3l1m2yjkCeV2kFwznL3W78,0.0606,0.228,3,-22.777,1,0.0458,0.881,4.37e-05,0.111,0.156,56.343,212493,4,studio
06MdshAoq98OnumAG4PIuC,0.367,0.652,0,-11.063,1,0.029,0.663,0.000288,0.1,0.716,112.28,165560,4,studio
6VusMBgtzMkUjJLzhYL8Dq,0.91,0.274,5,-7.716,1,0.0606,0.032,0.000122,0.933,0.519,136.2,326133,4,live
5afnvlWg98OqM6OPLP9bBQ,0.656,0.418,0,-8.198,1,0.0569,0.163,0.00115,0.525,0.414,76.994,365347,4,live
1KFTXJslA3vdcSxE4k8azK,0.857,0.563,7,-7.618,1,0.0604,0.165,1.83e-05,0.134,0.687,118.29,163053,4,studio
150WBpUgrIvPs2Gnr6SfsF,0.863,0.693,9,-9.037,1,0.0401,0.173,0.000237,0.0626,0.846,113.545,189333,4,studio
7rkmw3vXZSpjfQjyEzm799,0.908,0.414,2,-4.649,1,0.0466,0.0663,6.7e-06,0.377,0.426,133.969,274107,4,live
19NKQh7UsGP0dazET759jN,0.575,0.602,5,-12.827,1,0.0559,0.0236,0.00469,0.83,0.904,110.951,163427,4,live
0l7mvfrVHibVn5QX7jJqGM,0.377,0.553,1,-8.038,1,0.0309,0.894,0,0.129,0.195,116.132,236867,4,studio
0TiQVZmKyUgLjTUw846GCH,0.854,0.681,4,-8.498,0,0.0389,0.495,2.26e-05,0.392,0.777,112.127,153960,4,live
4ZfuNdzoRTGvfpDIGdYn5R,0.732,0.751,7,-5.783,1,0.0255,0.0758,0.00112,0.917,0.772,105.124,300652,4,live
2va8U7hZ2JLOR4npzYqMrU,0.388,0.495,7,-14.044,1,0.0303,0.3,0,0.153,0.396,109.759,218227,4,studio
5kPxzJwc89KRSrgDV6mAwf,0.584,0.453,10,-11.581,1,0.0551,0.207,1.34e-06,0.569,0.569,140.326,188480,4,studio
4rTdJYQ98IB5EOvKxz1Dm3,0.67,0.628,10,-10.441,1,0.0269,0.00882,6.92e-05,0.154,0.661,100.756,392000,4,studio
4X8ywvVdJnWf2cNYiq4Vxq,0.266,0.531,5,-10.589,1,0.0327,0.801,0,0.118,0.365,129.071,233787,4,studio
7ueNBLqpat2xoorhpWMfr0,0.98,0.648,9,-6.378,1,0.141,0.0699,0.00141,0.969,0.64,125.972,210720,4,live
2LwLG226pAi7QGqdqquK4T,0.906,0.325,0,-3.433,1,0.118,0.453,0.00188,0.419,0.402,83.009,445533,4,live
2yFyhMYK892neNBAzYClt6,0.69,0.449,8,-4.76,1,0.0315,0.164,0,0.928,0.234,128.831,261987,4,live
1PB4ismJgnAHO8nSleFYba,0.876,0.223,9,-8.918,1,0.104,0.00897,0.116,0.915,0.208,172.083,364933,4,live
2dYam0boaX8XGNzwVqHxW0,0.557,0.693,5,-6.504,0,0.0333,0.439,7.99e-05,0.161,0.793,124.61,124453,4,studio
5glAkD10qX51HAjQOBF2xS,0.77,0.579,5,-6.639,1,0.0314,0.11,1.74e-06,0.778,0.681,137.454,219733,4,live
1hw6uF3qSGhAda9Woq96vT,0.918,0.631,1,-4.24,0,0.0291,0.0239,0.000253,0.978,0.62,108.236,306829,4,live
7na7MmpePvl0nErQIQteBG,0.524,0.38,0,-13.486,1,0.056,0.793,0.255,0.949,0.308,97.382,172573,4,live
1FJRZLvaMB5fv6ZuBXGHlj,0.534,0.516,4,-13.077,1,0.0373,0.157,0,0.167,0.583,141.965,292973,4,studio
5AZVlaizzqbDE9QEsF8Taq,0.693,0.499,9,-13.324,0,0.0593,0.26,6.56e-05,0.219,0.723,175.958,238093,4,studio
6d8dSogJwLG95aUqXIN8lo,0.704,0.619,4,-6.749,0,0.0243,0.528,0.0012,0.23,0.6,100.862,348773,4,studio
1zRt6GwdqaRgFfABzz6xVc,0.523,0.516,0,-10.696,1,0.0429,0.253,0,0.0967,0.775,96.239,375040,4,studio
23cMvOOt9IlfxQINoFifXA,0.224,0.589,7,-14.014,1,0.0305,0.688,0.000126,0.094,0.599,84.81,177853,4,studio
5pWyOsWnOrSfDzNqCqBzOY,0.0362,0.23,10,-24.148,1,0.0343,0.942,0.000355,0.106,0.132,80.03,195787,4,studio
6gVfhIA3EEC8lFxqU8HPo8,0.105,0.634,9,-21.741,1,0.0424,0.921,0.905,0.204,0.286,127.03,173613,4,studio
3SF5puV5eb6bgRSxBeMOk9,0.397,0.377,7,-8.427,1,0.0312,0.817,0.0496,0.187,0.462,108.591,187400,3,studio
4VrZjVEmT5qQnkCOtMWZ9b,0.554,0.415,6,-14.116,1,0.0509,0.732,2.26e-06,0.154,0.63,135.027,352040,3,studio
3Si9u9FVlUTcUXVcawnstJ,0.312,0.683,3,-13.588,1,0.0371,0.912,0.000123,0.0996,0.519,111.468,302307,4,studio
0wfBooQ6QtDm63UIyIcDIj,0.479,0.579,5,-10.348,1,0.0294,0.206,0.00211,0.163,0.937,135.459,177200,4,studio
5rIrOuZwqZiAdsA3Cxp8Oj,0.249,0.496,4,-12.785,1,0.0274,0.752,0.00684,0.103,0.446,82.941,268027,4,studio
0Qb7wuRr0Ur1SyGpBAzVPV,0.435,0.548,4,-10.5,0,0.0396,0.118,2.16e-06,0.137,0.854,115.315,272133,4,studio
5bwWByDZMmbQCc7ilCjKhZ,0.338,0.732,1,-10.781,1,0.031,0.889,0.00105,0.208,0.613,114.048,150787,4,studio
52vA3CYKZqZVdQnzRrdZt6,0.396,0.389,7,-7.999,1,0.0332,0.887,0,0.0828,0.585,171.86,192053,3,studio
5tprHASjzXCxTFS7UHIOEr,0.439,0.738,9,-12.486,1,0.0349,0.765,0.00341,0.293,0.654,110.42,207893,3,studio
3cY8cOjaN8Lwi08g9Fpr6D,0.142,0.626,10,-17.197,1,0.0371,0.958,1.81e-06,0.105,0.604,83.139,270884,1,studio
0uRMGsSsX2KORS8jkB9Lwc,0.129,0.573,9,-15.326,1,0.0418,0.599,0.008,0.297,0.102,77.411,285067,4,studio
5nbNWAfT1S6V1vqj3snHxS,0.302,0.572,7,-8.573,1,0.0286,0.743,0,0.125,0.389,105.54,214440,4,studio
38juUluQHYJdEnYuHazKXE,0.342,0.367,0,-8.88,1,0.0312,0.69,0,0.666,0.374,134.622,270466,4,live
7ddj01Wps8qEY3MyNLkK2t,0.633,0.389,7,-7.16,0,0.0524,0.697,0.00262,0.312,0.53,90.44,238520,4,live
2gXvgBpMaDZRxctxbI3Zpc,0.574,0.493,9,-11.08,1,0.0313,0.252,2.71e-05,0.203,0.829,80.256,269640,4,studio
3peU8s6xW7LrJFQathQkL7,0.652,0.678,6,-12.098,1,0.0458,0.162,0,0.861,0.787,92.865,232840,4,live
71kl32fFCagQiR9XVQzwGx,0.535,0.612,10,-10.411,1,0.0269,0.736,0.000736,0.0842,0.418,80.802,435147,4,studio
3v4h4wyAZe2pBQv6uK5KhP,0.733,0.553,2,-8.405,1,0.0316,0.00798,4.6e-05,0.417,0.808,135.344,322560,4,studio
4Oi0aCr7R0gN6WJSKtdANr,0.697,0.572,9,-6.593,1,0.0618,0.462,0,0.107,0.858,134.073,107360,4,studio
2QCJcmHByVdv7d5MrGPV63,0.723,0.503,5,-11.198,0,0.0363,0.026,0.103,0.0952,0.632,135.014,434360,4,studio
2v2ZKjxhsdWevtT0CKN6c2,0.242,0.511,0,-15.778,1,0.043,0.716,0.142,0.101,0.463,121.511,127813,3,studio
3UM9c3l8rQw5pZECv8GRPB,0.821,0.452,5,-6.828,0,0.0409,0.0123,0.09,0.874,0.338,137.989,298333,4,live
6wrEYf9IyrjaLccRBhrsCO,0.505,0.634,4,-9.703,1,0.0471,0.841,0.00554,0.0887,0.62,132.521,170533,4,studio
08qFE5sITYm6agErWdyITO,0.718,0.415,3,-5.858,1,0.0352,0.0514,0,0.931,0.489,81.918,276493,4,live
0YOKvap9MGrK0Ec9yUxFmD,0.467,0.388,0,-11.898,1,0.151,0.746,0,0.982,0.557,124.988,321360,4,live
32IYJQCpMJ6LolGUbdYEp2,0.687,0.384,1,-8.512,1,0.0345,0.249,0,0.108,0.755,146.808,368347,4,studio
5NXLQMyRcKGZmpkaHHsb3x,0.467,0.644,9,-12.235,1,0.0261,0.406,1.17e-05,0.323,0.592,94.077,238400,4,studio
2nBnxAHFIs24IkYihmKlt8,0.91,0.14,6,-5.096,0,0.0518,0.0216,0.0164,0.982,0.415,92.403,286467,4,live
52OS3WhJz54tvUFyZMA4Is,0.803,0.51,2,-8.729,1,0.0617,0.175,6.73e-06,0.0561,0.688,131.641,312907,4,studio
4hIzUNbS7khuw9BvKyvGTo,0.278,0.426,4,-14.853,1,0.0302,0.855,0.000108,0.0948,0.649,99.421,247013,4,studio
5d59AKrvfX5vA4gVQAaEBq,0.0949,0.568,8,-20.415,1,0.0366,0.756,0,0.109,0.274,82.191,271707,4,studio
6VvWQb5mxb6xhJ2xxqWkds,0.918,0.165,10,-4.848,1,0.0677,0.203,0.000124,0.928,0.315,178.86,353307,3,live
2eATt7RUpMbE1oGi8y1c6n,0.0423,0.324,0,-22.358,1,0.035,0.792,0.000106,0.114,0.137,127.572,216733,4,studio
3vi3lrRxKJs3UQ7n2mi7zR,0.315,0.489,0,-10.844,1,0.0319,0.881,0,0.13,0.568,114.177,153107,4,studio
1lqMLr9Wj7SM2F9AikGcxN,0.827,0.509,0,-7.715,1,0.0782,0.0409,0,0.12,0.743,135.601,512733,4,studio
0k2tkSYmg3ueCemL7vqfCn,0.444,0.577,7,-7.891,1,0.0278,0.705,0.0337,0.147,0.589,102.166,263347,3,studio
6X1BBeLAV717lxFI0qyybQ,0.977,0.578,4,-4.978,0,0.223,0.471,0.000428,0.741,0.275,99.769,319520,4,live
53ygARQf1f30Z0EmXPHWGT,0.467,0.555,9,-14.698,1,0.0443,0.0809,0.000983,0.0707,0.591,145.268,258973,4,studio
7BkAlVpGwXXl3sYNn5OoJ7,0.592,0.556,5,-7.378,1,0.0337,0.458,0,0.0637,0.587,94.887,274067,4,studio
4gGkNMS9FSGOrEY9DLw9Is,0.763,0.57,9,-8.513,1,0.0514,0.665,0.00797,0.0829,0.895,118.008,172840,4,studio
1g8SAhlSBYxRcP5boyr4r9,0.0369,0.263,8,-20.637,1,0.031,0.875,4.8e-06,0.102,0.13,84.023,171827,4,studio
